taxid	rank
family	55140
family	55153
family	55176
family	55198
family	54983
family	54986
family	55199
family	54999
family	55620
family	55417
family	55432
family	55433
family	55434
family	55435
family	55626
family	55436
family	55271
family	55637
family	55279
family	55645
family	55649
family	55653
family	55657
family	55660
family	55700
family	55708
family	55359
family	55360
family	55548
family	55711
family	55723
family	55727
family	55731
family	55734
family	55748
family	55780
family	55795
family	55805
family	56248
family	55815
family	55819
family	55844
family	55860
family	55871
family	55873
family	55876
family	56252
family	56256
family	56259
family	56260
family	56290
family	56120
family	56123
family	56126
family	56129
family	56139
family	56295
family	56302
family	55961
family	56309
family	55970
family	56881
family	56627
family	56189
family	56201
family	56478
family	56883
family	56885
family	56488
family	56910
family	56693
family	56709
family	56718
family	56911
family	56724
family	56912
family	57503
family	56735
family	56740
family	56757
family	57506
family	57514
family	57559
family	57284
family	57290
family	57083
family	57110
family	57610
family	57611
family	57613
family	57614
family	57615
family	57616
family	57970
family	57201
family	57253
family	57254
family	57692
family	57707
family	57708
family	57710
family	57716
family	57768
family	57769
family	57770
family	57771
family	57772
family	57380
family	57381
family	57382
family	57383
family	57385
family	57386
family	57387
family	57388
family	57390
family	58154
family	58183
family	58254
family	57971
family	57972
family	57976
family	57977
family	57978
family	57992
family	57993
family	57876
family	57877
family	57995
family	58055
family	58822
family	58539
family	58543
family	58544
family	58545
family	58546
family	58549
family	58550
family	58551
family	58552
family	58554
family	58555
family	58556
family	58558
family	58365
family	58861
family	58669
family	58877
family	59445
family	59164
family	59186
family	59237
family	59248
family	59249
family	59003
family	59009
family	59446
family	59447
family	59997
family	60004
family	60108
family	59795
family	59819
family	60153
family	60155
family	60156
family	60415
family	59755
family	60521
family	60660
family	60522
family	60523
family	60524
family	60526
family	60528
family	60561
family	60576
family	60582
family	61129
family	60838
family	60885
family	60930
family	60944
family	60414
family	61319
family	61328
family	61331
family	61335
family	61350
family	61354
family	61359
family	61972
family	61422
family	61683
family	61688
family	61691
family	61694
family	61697
family	61700
family	61707
family	61710
family	61719
family	61722
family	61729
family	61732
family	61735
family	61982
family	61738
family	61744
family	61749
family	61989
family	61752
family	61756
family	61993
family	62056
family	61845
family	62314
family	61893
family	61896
family	61900
family	61526
family	61527
family	61528
family	61529
family	61530
family	61531
family	61532
family	61611
family	62747
family	62630
family	62633
family	62635
family	62133
family	62149
family	62768
family	62771
family	62781
family	62784
family	62787
family	62795
family	62802
family	63227
family	62874
family	63282
family	62882
family	62911
family	62917
family	62918
family	62919
family	62920
family	62922
family	62923
family	62924
family	62925
family	63671
family	63070
family	63072
family	63076
family	63081
family	63083
family	63826
family	63729
family	63901
family	63908
family	63910
family	63912
family	63761
family	63765
family	63776
family	63796
family	64463
family	65355
family	64703
family	64898
family	64899
family	64903
family	65549
family	65550
family	64142
family	64154
family	64155
family	64169
family	65055
family	65463
family	65579
family	65584
family	65588
family	65593
family	65619
family	65652
family	65492
family	65542
family	65544
family	65546
family	65547
family	66516
family	66220
family	66236
family	66272
family	66276
family	66046
family	66049
family	66056
family	66525
family	66528
family	66531
family	66535
family	66548
family	66553
family	66562
family	66565
family	67245
family	66569
family	66572
family	66576
family	66579
family	66583
family	66587
family	66590
family	66594
family	66597
family	66600
family	66604
family	66608
family	66611
family	66798
family	66801
family	66802
family	66803
family	66804
family	66826
family	67249
family	67392
family	66915
family	66919
family	66923
family	66926
family	66670
family	66673
family	66676
family	66687
family	66704
family	66746
family	66749
family	67404
family	67406
family	67423
family	67959
family	67432
family	67442
family	67445
family	67474
family	67477
family	67517
family	67522
family	68023
family	67861
family	67877
family	67882
family	67885
family	68026
family	68029
family	68749
family	67901
family	68500
family	68511
family	68515
family	68559
family	68562
family	68566
family	68576
family	68298
family	68755
family	68758
family	68763
family	68767
family	68773
family	68781
family	68784
family	68792
family	68798
family	68805
family	68808
family	69433
family	69031
family	69034
family	69036
family	69037
family	69128
family	69277
family	69291
family	69351
family	69441
family	69450
family	69468
family	69529
family	69535
family	69551
family	69557
family	69561
family	69565
family	69569
family	69584
family	69587
family	69595
family	70129
family	69973
family	69649
family	69657
family	69672
family	69676
family	69683
family	69687
family	69691
family	69694
family	69697
family	69701
family	69707
family	70139
family	70160
family	70187
family	70208
family	70209
family	70210
family	70224
family	70833
family	70537
family	70555
family	70602
family	70320
family	70381
family	70408
family	70409
family	70410
family	70417
family	70846
family	70851
family	70895
family	70907
family	70914
family	70920
family	71377
family	71175
family	71195
family	71283
family	71286
family	71291
family	71294
family	71399
family	71300
family	71304
family	71313
family	71317
family	71583
family	71586
family	71589
family	71592
family	71598
family	71619
family	71456
family	71468
family	71474
family	71478
family	71483
family	71492
family	71495
family	71499
family	71503
family	71507
family	71511
family	71514
family	72034
family	71672
family	72383
family	71810
family	71934
family	72179
family	72205
family	72220
family	72045
family	72048
family	72049
family	72117
family	72275
family	72276
family	72293
family	72294
family	72466
family	72801
family	72552
family	72984
family	72876
family	73096
family	72685
family	72688
family	73111
family	73651
family	73114
family	73359
family	73364
family	73367
family	73370
family	73401
family	73421
family	73249
family	73325
family	73338
family	73341
family	73344
family	73345
family	73348
family	73655
family	74712
family	74048
family	74056
family	74074
family	74469
family	74473
family	74476
family	74488
family	73792
family	73798
family	73894
family	73920
family	73923
family	73927
family	73931
family	74795
family	74973
family	74539
family	74540
family	74541
family	75545
family	75055
family	75557
family	75967
family	75187
family	75200
family	75682
family	75787
family	75380
family	75381
family	75382
family	75383
family	75391
family	75423
family	75428
family	75435
family	76265
family	76072
family	75882
family	76780
family	76784
family	76803
family	76839
family	76657
family	76843
family	76892
family	76493
family	77335
family	76914
family	76917
family	77713
family	77031
family	77177
family	77184
family	77187
family	77746
family	77569
family	77757
family	77572
family	77786
family	77654
family	77658
family	77660
family	77667
family	77685
family	77692
family	77702
family	77705
family	77709
family	78060
family	78093
family	77787
family	78516
family	78902
family	78204
family	78391
family	78903
family	78904
family	78905
family	78919
family	79785
family	79273
family	79303
family	79304
family	79797
family	79803
family	79807
family	79896
family	79901
family	80864
family	79709
family	79710
family	79712
family	79713
family	79714
family	79715
family	79716
family	79717
family	79725
family	79726
family	79727
family	79728
family	79735
family	81001
family	81059
family	81064
family	81078
family	80611
family	80628
family	80634
family	80642
family	80649
family	81093
family	80887
family	81813
family	81541
family	81544
family	81601
family	81361
family	81368
family	81371
family	81374
family	81379
family	81383
family	81387
family	81390
family	81393
family	81835
family	81641
family	81850
family	81852
family	81882
family	81697
family	81707
family	81887
family	81710
family	81890
family	81928
family	81529
family	82562
family	81953
family	81957
family	82115
family	82139
family	82145
family	82164
family	82583
family	82764
family	82593
family	82613
family	82793
family	82738
family	82890
family	83620
family	83144
family	83156
family	83164
family	83166
family	83214
family	83221
family	83226
family	83676
family	83473
family	83476
family	84211
family	83972
family	83991
family	83996
family	83324
family	83327
family	83763
family	83778
family	84214
family	84220
family	84221
family	84222
family	84224
family	84059
family	84283
